               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.025553,            0.012144,            0.024089,             0.65112,             0.83358,             0.74592,             0.54225,            0.013268,           0.0033643,            0.013103,           0.0066587,           0.0066587,           0.0066587
                 137,            0.024899,            0.012242,            0.022425,             0.69761,             0.77796,             0.76427,             0.55686,             0.01373,            0.003355,            0.012472,            0.006634,            0.006634,            0.006634
                 138,            0.024457,            0.012107,            0.020475,             0.66797,             0.78542,             0.77141,              0.5751,            0.013307,           0.0033706,            0.012832,           0.0066092,           0.0066092,           0.0066092
                 139,            0.025342,            0.011263,            0.022249,             0.67987,             0.77473,             0.77795,             0.57346,            0.013395,           0.0034784,            0.011485,           0.0065845,           0.0065845,           0.0065845
                 140,            0.025872,            0.012325,            0.023265,              0.6909,             0.77599,             0.77561,             0.56006,            0.013438,           0.0035407,            0.011575,           0.0065598,           0.0065598,           0.0065598
                 141,            0.024816,             0.01202,             0.02519,             0.67942,             0.78661,             0.76528,             0.56875,            0.013575,           0.0034306,             0.01157,            0.006535,            0.006535,            0.006535
                 142,            0.024656,              0.0114,            0.022796,             0.71359,             0.76697,              0.7676,             0.57392,             0.01319,            0.003321,            0.011592,           0.0065102,           0.0065102,           0.0065102
                 143,            0.024851,            0.012041,            0.022574,              0.6859,             0.79678,             0.76276,              0.5631,            0.013348,           0.0034495,            0.011801,           0.0064855,           0.0064855,           0.0064855
                 144,            0.024193,            0.011939,            0.022607,             0.71693,             0.72787,             0.76888,             0.55833,            0.013928,           0.0036092,            0.012097,           0.0064608,           0.0064608,           0.0064608
                 145,             0.02451,            0.012097,            0.024155,             0.67763,             0.80898,             0.78591,             0.57661,            0.013369,           0.0033863,            0.011874,            0.006436,            0.006436,            0.006436
                 146,            0.024752,            0.012163,            0.023281,             0.68444,             0.76835,             0.76817,             0.57222,            0.013517,           0.0034428,            0.013265,           0.0064112,           0.0064112,           0.0064112
                 147,            0.024702,            0.011847,            0.021431,             0.64561,             0.84105,             0.79615,              0.5981,            0.013299,           0.0034936,            0.011153,           0.0063865,           0.0063865,           0.0063865
                 148,            0.025481,            0.011503,            0.023074,             0.68561,             0.77041,             0.74095,             0.54961,            0.013438,           0.0034284,            0.012308,           0.0063618,           0.0063618,           0.0063618
                 149,            0.025195,            0.012008,            0.022291,             0.71493,             0.76179,             0.76719,             0.57091,            0.013252,           0.0035076,            0.011432,            0.006337,            0.006337,            0.006337
                 150,             0.02515,             0.01178,            0.021723,             0.70785,             0.78724,             0.77414,             0.57357,            0.013364,           0.0034974,            0.011148,           0.0063122,           0.0063122,           0.0063122
                 151,            0.024912,            0.012049,            0.019946,             0.68045,             0.79016,             0.77999,             0.57398,            0.013768,           0.0033726,            0.012894,           0.0062875,           0.0062875,           0.0062875
                 152,            0.025251,            0.012355,            0.022165,             0.69454,             0.78402,             0.77404,             0.56588,            0.014003,           0.0034507,            0.011159,           0.0062628,           0.0062628,           0.0062628
                 153,            0.024359,            0.011465,            0.019369,             0.66782,             0.81096,             0.77536,              0.5833,            0.013246,           0.0032561,            0.011336,            0.006238,            0.006238,            0.006238
                 154,            0.024379,            0.011485,            0.019528,             0.72197,             0.79815,              0.7976,             0.59773,            0.012982,           0.0032254,            0.011151,           0.0062132,           0.0062132,           0.0062132
                 155,             0.02542,             0.01166,            0.022234,             0.69325,             0.81826,             0.81802,             0.60253,            0.012746,           0.0032657,            0.010291,           0.0061885,           0.0061885,           0.0061885
                 156,            0.024938,            0.012159,            0.019733,             0.75874,             0.73292,             0.80115,             0.59737,            0.012994,           0.0033962,            0.010321,           0.0061637,           0.0061637,           0.0061637
